index	episode	episode_name	segment	type	actor	character	detail	record_date	series	transmission_date
1	1	Episode One: Whither Canada?		Dialogue	Michael Palin	It's Man	It's...	9/7/1969 0:00	1-Jan	10/5/1969 0:00
2	1	Episode One: Whither Canada?		Dialogue	John Cleese	Voice Over	Monty Python's Flying Circus.	9/7/1969 0:00	1-Jan	10/5/1969 0:00
5	1	Episode One: Whither Canada?		Dialogue	Graham Chapman	Announcer	Good evening.	9/7/1969 0:00	1-Jan	10/5/1969 0:00
10	1	Episode One: Whither Canada?	Famous deaths	Dialogue	John Cleese	Mozart	"Hello again, and welcome to the show. Tonight we continue to look at some famous deaths. Tonight we start with the wonderful death of Genghis Khan, conqueror of India. Take it away Genghis."	9/7/1969 0:00	1-Jan	10/5/1969 0:00
12	1	Episode One: Whither Canada?	Famous deaths	Dialogue	Graham Chapman	Voice Over	"9.1, 9.3, 9.7, that's 28.1 for Genghis Khan."	9/7/1969 0:00	1-Jan	10/5/1969 0:00
14	1	Episode One: Whither Canada?	Famous deaths	Dialogue	John Cleese	Mozart	Bad luck Genghis. Nice to have you on the show. And now here are the scores.	9/7/1969 0:00	1-Jan	10/5/1969 0:00
17	1	Episode One: Whither Canada?	Famous deaths	Dialogue	Eric Idle	Eddie	"Well there you can see the scores now. St Stephen in the lead there with his stoning, then comes King Richard the Third at Bosworth Field, a grand death that, then the very lovely Jean d'Arc, then Marat in his bath - best of friends with Charlotte in the showers afterwards - then A. Lincoln of the U.S of A, a grand little chap that, and number six Genghis Khan, and the back marker King Edward the Seventh. Back to you, Wolfgang."	9/7/1969 0:00	1-Jan	10/5/1969 0:00
18	1	Episode One: Whither Canada?	Famous deaths	Dialogue	John Cleese	Mozart	"Thank you, Eddie. And now time for this week's request death."	9/7/1969 0:00	1-Jan	10/5/1969 0:00
20	1	Episode One: Whither Canada?	Famous deaths	Dialogue	John Cleese	Mozart	"For Mr and Mrs Violet Stebbings of 23 Wolverston Road, Hull, the death of Mr Bruce Foster of Guildford."	9/7/1969 0:00	1-Jan	10/5/1969 0:00
22	1	Episode One: Whither Canada?	Famous deaths	Dialogue	Graham Chapman	Foster	Strewth!	9/7/1969 0:00	1-Jan	10/5/1969 0:00
25	1	Episode One: Whither Canada?	Famous deaths	Dialogue	John Cleese	Mozart	"Oh blimey, how time flies. Sadly we are reaching the end of yet another programme and so it is finale time. We are proud to be bringing to you one of the evergreen bucket kickers. Yes, the wonderful death of the famous English Admiral Nelson."	9/7/1969 0:00	1-Jan	10/5/1969 0:00
29	1	Episode One: Whither Canada?	Italian lesson				"Cut to a night school Teacher looking down out of classroom window. He crosses to a long wall blackboard with line of pigs drawn on near end. He crosses one off, walks along blackboard to other end which has written on it 'evening classes 7-8 p.m.'. He writes 'Italian' below this and turns to camera."	9/7/1969 0:00	1-Jan	10/5/1969 0:00
30	1	Episode One: Whither Canada?	Italian lesson	Dialogue	Terry Jones	Teacher	"Ah - good evening everyone, and welcome to the second of our Italian language classes, in which we'll be helping you brush up your Italian. Last week we started at the beginning, and we learnt the Italian for a 'spoon'. Now, I wonder how many of you can remember what it was?"	9/7/1969 0:00	1-Jan	10/5/1969 0:00
32	1	Episode One: Whither Canada?	Italian lesson	Dialogue	Terry Jones	Teacher	Not all at once ... sit down Mario. Giuseppe!	9/7/1969 0:00	1-Jan	10/5/1969 0:00
33	1	Episode One: Whither Canada?	Italian lesson	Dialogue	Michael Palin	Giuseppe	Il cucchiaio.	9/7/1969 0:00	1-Jan	10/5/1969 0:00
34	1	Episode One: Whither Canada?	Italian lesson	Dialogue	Terry Jones	Teacher	"Well done Giuseppe, or, as the Italians would say: 'Molto bene, Giuseppe'."	9/7/1969 0:00	1-Jan	10/5/1969 0:00
35	1	Episode One: Whither Canada?	Italian lesson	Dialogue	Michael Palin	Giuseppe	Grazie signor ... grazie di tutta la sua gentilezza.	9/7/1969 0:00	1-Jan	10/5/1969 0:00
36	1	Episode One: Whither Canada?	Italian lesson	Dialogue	Terry Jones	Teacher	"Well, now, this week we're going to learn some useful phrases to help us open a conversation with an Italian. Now first of all try telling him where you come from. For example, I would say: 'Sono Inglese di Gerrard's Cross', I am an Englishman from Gerrard's Cross. Shall we all try that together?"	9/7/1969 0:00	1-Jan	10/5/1969 0:00
